iso_time,raw_line
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:24,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:25,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:26,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
2025-09-09T10:42:27,delta=0 us  f=0.0 Hz  RPM=0.0
